symbol,date,close
BCC,2017-11-06,259.85
BCC,2017-11-05,276.28
BCC,2017-11-04,278.66
BCC,2017-11-03,271.12
BCC,2017-11-02,263.27
BCC,2017-11-01,250.93
BCC,2017-10-31,239.52
BCC,2017-10-30,228.12
BCC,2017-10-29,227.10
BCC,2017-10-28,211.84
BCC,2017-10-27,212.55
BCC,2017-10-26,216.59
BCC,2017-10-25,206.32
BCC,2017-10-24,193.70
BCC,2017-10-23,198.57
BCC,2017-10-22,205.04
BCC,2017-10-21,210.40
BCC,2017-10-20,213.46
BCC,2017-10-19,199.79
BCC,2017-10-18,195.38
BCC,2017-10-17,193.95
BCC,2017-10-16,199.63
BCC,2017-10-15,193.03
BCC,2017-10-14,199.74
BCC,2017-10-13,196.72
BCC,2017-10-12,188.09
BCC,2017-10-11,166.59
BCC,2017-10-10,161.25
BCC,2017-10-09,158.66
BCC,2017-10-08,148.31
BCC,2017-10-07,144.15
BCC,2017-10-06,141.86
BCC,2017-10-05,138.96
BCC,2017-10-04,135.09
BCC,2017-10-03,136.58
BCC,2017-10-02,139.08
BCC,2017-10-01,139.33
BCC,2017-09-30,136.16
BCC,2017-09-29,130.11
BCC,2017-09-28,131.26
BCC,2017-09-27,126.31
BCC,2017-09-26,117.76
BCC,2017-09-25,117.50
BCC,2017-09-24,110.11
BCC,2017-09-23,113.17
BCC,2017-09-22,109.69
BCC,2017-09-21,108.73
BCC,2017-09-20,117.25
BCC,2017-09-19,117.67
BCC,2017-09-18,122.00
BCC,2017-09-17,106.84
BCC,2017-09-16,109.85
BCC,2017-09-15,111.22
BCC,2017-09-14,96.71
BCC,2017-09-13,115.97
BCC,2017-09-12,123.50
BCC,2017-09-11,125.70
BCC,2017-09-10,122.92
BCC,2017-09-09,130.05
BCC,2017-09-08,128.29
BCC,2017-09-07,137.61
BCC,2017-09-06,136.18
BCC,2017-09-05,129.42
BCC,2017-09-04,114.13
BCC,2017-09-03,130.99
BCC,2017-09-02,131.33
BCC,2017-09-01,140.97
BCC,2017-08-31,135.63
BCC,2017-08-30,136.06
BCC,2017-08-29,128.24
BCC,2017-08-28,118.75
BCC,2017-08-27,114.99
BCC,2017-08-26,116.13
BCC,2017-08-25,100.87
BCC,2017-08-24,127.08
BCC,2017-08-23,127.97
BCC,2017-08-22,120.44
BCC,2017-08-21,115.91
BCC,2017-08-20,116.77
BCC,2017-08-19,120.04
BCC,2017-08-18,121.08
BCC,2017-08-17,117.90
BCC,2017-08-16,119.36
BCC,2017-08-15,112.26
BCC,2017-08-14,112.73
BCC,2017-08-13,103.23
BCC,2017-08-12,104.76
BCC,2017-08-11,98.96
BCC,2017-08-10,91.54
BCC,2017-08-09,85.91
BCC,2017-08-08,86.51
BCC,2017-08-07,83.05
BCC,2017-08-06,79.32
BCC,2017-08-05,79.13
BCC,2017-08-04,70.90
BCC,2017-08-03,69.35
BCC,2017-08-02,64.93
BCC,2017-08-01,52.44
BCC,2017-07-31,66.14
BCC,2017-07-30,61.52
BCC,2017-07-29,64.96
BCC,2017-07-28,69.28
BCC,2017-07-27,65.09
BCC,2017-07-26,62.68
BCC,2017-07-25,63.65
BCC,2017-07-24,67.02
BCC,2017-07-23,60.14
BCC,2017-07-22,67.31
BCC,2017-07-21,67.21
BCC,2017-07-20,69.79
BCC,2017-07-19,56.61
BCC,2017-07-18,58.29
BCC,2017-07-17,55.49
BCC,2017-07-16,48.05
BCC,2017-07-15,44.57
BCC,2017-07-14,55.53
